article,date,cluster
"   Neil Sheehan interview with Tran Ngoc Chau, former South Vietnamese Army officer and Government official, who underwent 're-education training' by Communist Vietnamese officials after war's end.  Chau, who is refugee living in Van Nuys, Calif, says Hanoi leadership undertook unprecedented experiment to convert and reconcile former opponents instead of killing them.  Notes there were some trials and long prison terms, but he does not know of anyone from South Vietnam was was executed for acts committed during war.  Says tens of thousands, possibly more than 100,000, remain confined because authorities are still afraid or unwilling to release them.  Describes life in re-education camp.  Notes hundreds of thousands who have been released are untrusted minority of 2d-class citizens.  Notes Government effort to repopulate ricelands, so-called New Economic Zones, is failing because authorities do not have enough seed rice, tools and other essentials to help settlers.  Notes his view of Vietnamese Communists has changed, that they are nationalists 1st and then Communists. Illus (L).  LANGUAGE: ENGLISH  JOURNAL-CODE:  NYT  TYPE: Interview 14  GRAPHIC: Illustrations: Photograph                 ",January 14 1980 ,0
"   Bill Kurtis article on plight of half-American, half-Vietnamese children abandoned by American GI fathers in Vietnam after war.  Says there are estimated 8,000 Vietnamese-American children in and around Ho Chi Minh City.  Some are war babies, but US State Department officials confirm they have received entry-visa petitions for more than 600 children of American citizens who were left behind in confusion of American departure.  Vietnamese Government has been uncooperative in responding.  Some American diplomats speculate children may become 'hostages' in Vietnamese negotiations for normalization of relations with US.  Children and their mothers, ostracized by society, are forced to make living by working in black-market economy.  Children are not allowed to attend school.  Kurtis, describing visit to Ho Chi Minh City, recalls that he was given close to 100 letters by Vietnamese trying to find relatives in US.  Illus (L).  LANGUAGE: ENGLISH  JOURNAL-CODE:  NYT  TYPE: 61-80  GRAPHIC: Illustrations: Photograph                 ",March 2 1980 ,0
"   Pakistan plans to close its embassy in Hanoi, citing statement by Prime Min Pham Van Dong of Vietnam that described disputed state of Kashmir as part of India. Kashmir has been major issue between India and Pakistan, with both claiming territory.  Foreign Ministry spokesman contends Dong's statements were made in bid to buy india's recognition of new Cambodian Government (S).  LANGUAGE: ENGLISH  JOURNAL-CODE:  NYT  TYPE: 102-8                 ",April 12 1980 ,0
"   Pakistan plans to close its embassy in Hanoi, citing statement by Prime Min Pham Van Dong of Vietnam that described disputed state of Kashmir as part of India. Kashmir has been major issue between India and Pakistan, with both claiming territory.  Foreign Ministry spokesman contends Dong's statements were made in bid to buy india's recognition of new Cambodian Government (S).  LANGUAGE: ENGLISH  JOURNAL-CODE:  NYT  TYPE: 102-8                 ",April 12 1980 ,0
"   South Korean diplomats Rhee Dai Young, minister counselor in South Korean Embassy, Ho Chi Minh City, Vietnam, and An Wee Wan and Suk Byung Ho, who were left behind in capital when Americans evacuated city, are released and returned to South Korea.  Diplomats have been imprisoned in Ho Chi Minh City since 1975. Sweden had been acting as intermediary between Vietnamese and South Korean Governments (S).  LANGUAGE: ENGLISH  JOURNAL-CODE:  NYT  TYPE: 104-8                 ",April 14 1980 ,0
"   Vietnamese officials, who have established strong hold on Cambodia, reportedly say Cambodia's weakness is causing Vietnam concern.  Concern is twofold: Vietnam is worried over possibility of another famine and has only limited confidence in competence of Heng Samrin Government.  Officials, who declined to be identified, say they share anxiety of international relief aides that Heng Samrin does not sense need to distribute relief food provided by USSR, Vietnam and international community.  Vietnam has been criticized in UN and by relief officials for being partly to blame for restricting relief efforts and for allowing warehouses to fill up with goods while Cambodians are starving.  Vietnamese official says Cambodian ministers are receiving as much as 22 pounds of meat monthly and eat better than Vietnamese counterparts.  Vietnamese say they realize Cambodians have no natural affection for Vietnamese and would not welcome heavy, long-term Vietnamese presence.  Vietnamese attitudes lend credence to reports that Heng Samrin might be replaced by Pen Sovan as chief of Government.  Prospect unsettles Cambodians, who believe Pen Sovan is too pro-Vietnamese.  Illus (M).  LANGUAGE: ENGLISH  JOURNAL-CODE:  NYT  TYPE: 104-8  GRAPHIC: Illustrations: Photograph                 ",April 14 1980 ,1
"   Vietnamese officials, who have established strong hold on Cambodia, reportedly say Cambodia's weakness is causing Vietnam concern.  Concern is twofold: Vietnam is worried over possibility of another famine and has only limited confidence in competence of Heng Samrin Government.  Officials, who declined to be identified, say they share anxiety of international relief aides that Heng Samrin does not sense need to distribute relief food provided by USSR, Vietnam and international community.  Vietnam has been criticized in UN and by relief officials for being partly to blame for restricting relief efforts and for allowing warehouses to fill up with goods while Cambodians are starving.  Vietnamese official says Cambodian ministers are receiving as much as 22 pounds of meat monthly and eat better than Vietnamese counterparts.  Vietnamese say they realize Cambodians have no natural affection for Vietnamese and would not welcome heavy, long-term Vietnamese presence.  Vietnamese attitudes lend credence to reports that Heng Samrin might be replaced by Pen Sovan as chief of Government.  Prospect unsettles Cambodians, who believe Pen Sovan is too pro-Vietnamese.  Illus (M).  LANGUAGE: ENGLISH  JOURNAL-CODE:  NYT  TYPE: 104-8  GRAPHIC: Illustrations: Photograph                 ",April 14 1980 ,1
   South Korean Information Minister Lee Kyoo Hyun issues statement indicating country would like to re-establish diplomatic relations with Vietnam.  Statement follows repatriation by Hanoi of 3 senior South Korean diplomats detained in Saigon since 1975 (S).  LANGUAGE: ENGLISH  JOURNAL-CODE:  NYT  TYPE: 110-7                 ,April 20 1980 ,0
"    To the Editor:  Since the fall of South Vietnam five years ago, American officials concerned with the refugee program have sought to persuade Hanoi to permit the legal emigration of Vietnamese with relatives in the United States. Orderly emigration by air, from Vietnam directly to the United States, would reduce the heavy loss of life among those who now have no alternative but to take to sea in small boats, hoping for some place of asylum.  Hanoi recently has agreed to allow 32,000 carefully screened individuals to leave on regularly scheduled or chartered aircraft.  However, because the United States has not approved the list, Vietnam now plans to unleash a new exodus of ''boat people.''  When the seaward flow of refugees swelled a year and a half ago, our Government waited for many months before sending the Seventh Fleet to assist them. In the meantime, numerous Vietnamese perished.  If many more thousands now die in the South China Sea, it will again be in part because the Administration failed to act in time. CARL H. LANDE, Professor of Political Science and East Asian Studies, University of Kansas, Lawrence, Kan., June 7, 1980  LANGUAGE: ENGLISH  TYPE: Letter                      ",June 21 1980 ,0
"    WORLD NEWS BRIEFS; Racial Unrest to Be Crushed, South African Leader Says  JOHANNESBURG, June 22 (UPI) - Prime Minister P.W. Botha of South Africa warned nonwhites today that the Government would use ''all its might'' to crush racial unrest and end the worst rioting in four years. It was Mr. Botha's first official statement on the week-long rioting that has left at least 32 people dead and 171 injured.  The warning came as black residents of Port Elizabeth and Uitenhage, the scene of violent clashes last week, expressed fears of new riots if the foreign-owned auto companies in the two cities dismissed striking workers.  ''I am not seeking confrontation nor am I seeking violence, but if people choose this above reasonableness, above sensible discussion and above consultation, then the state has no choice - then it will have to use all its might,'' Mr. Botha said on national television.  Peking Says 16 in Hanoi Were Taken From Embassy  PEKING, June 22 (UPI) - China charged today that Vietnamese policemen forcibly removed 16 Vietnamese who had sought asylum in the Chinese Embassy in Hanoi.  The official New China News Agency said the 16 Vietnamese, including 5 women and 6 children, drove through the gates of the Chinese Embassy in a jeep Friday.  ''These Vietnamese told staff members of the embassy that they were no longer able to bear the ruthless rule of the Vietnamese authorities,'' the press agency said. ''They asked the Chinese Embassy to help them emigrate abroad.''  It said the Vietnamese accused the Chinese of engineering the episode. The embassy and the streets around it were cordoned off by Vietnamese security police, the press agency said. No other details were given.  Venezuelan Government Punishes TV Station  CARACAS, Venezuela, June 22 - The Venezuelan Government announced today that it had ordered one of the country's two independent television stations off the air for 34 hours as punishment for violating regulations governing the content of programs.  This is the first time that the Christian Democratic Government of President Luis Herrera Campins, now in power for 15 months, has taken punitive action against a news organization.  The Government action against Radio Caracas Television, a station which reaches the most heavily populated sections of this nation of 16 million, came following the showing Friday of a documentary depicting inhumane conditions in a government center for children and teenagers suffering from psychiatric disorders.  The Government order also said the program showed minors in a way that could be embarrassing to them or to their families.  Security Tightened in Spain After Warnings by Basques  MADRID, June 22 (UPI) - The police tightened vigilance around Spain's resort beaches today after threats by Basque separatists to set off bombs in tourist resorts within 48 hours unless the Government frees a group of imprisoned guerrillas.  During a ''tourist war'' last year, the E.T.A. Basque guerrillas killed seven people and wounded more than 100 others in bombings at Madrid's airport and major railway stations.  LANGUAGE: ENGLISH                      ",June 23 1980 ,0
