Answer.Topic,Answer.Topic1,Answer.Topic10,Answer.Topic11,Answer.Topic12,Answer.Topic13,Answer.Topic14,Answer.Topic2,Answer.Topic3,Answer.Topic4,Answer.Topic5,Answer.Topic6,Answer.Topic7,Answer.Topic8,Answer.Topic9,Approve
Prisoners of War/Missing in Action,Prisoners of War/Missing in Action,Entertainment,Entertainment,Entertainment,control,topic not listed,topic not listed,Prisoners of War/Missing in Action,topic not listed,topic not listed,topic not listed,topic not listed,topic not listed,Entertainment,
topic not listed,Prisoners of War/Missing in Action,Entertainment,Entertainment,topic not listed,topic not listed,topic not listed,topic not listed,Prisoners of War/Missing in Action,Prisoners of War/Missing in Action,Prisoners of War/Missing in Action,topic not listed,topic not listed,topic not listed,Entertainment,
Prisoners of War/Missing in Action,Prisoners of War/Missing in Action,Entertainment,Entertainment,Entertainment,Entertainment,Prisoners of War/Missing in Action,topic not listed,Prisoners of War/Missing in Action,Prisoners of War/Missing in Action,Prisoners of War/Missing in Action,topic not listed,Prisoners of War/Missing in Action,Prisoners of War/Missing in Action,Entertainment,
Prisoners of War/Missing in Action,Prisoners of War/Missing in Action,Entertainment,Entertainment,Entertainment,Entertainment,topic not listed,topic not listed,Prisoners of War/Missing in Action,topic not listed,topic not listed,topic not listed,topic not listed,topic not listed,Entertainment,
topic not listed,Prisoners of War/Missing in Action,Entertainment,Entertainment,Entertainment,topic not listed,topic not listed,topic not listed,Prisoners of War/Missing in Action,topic not listed,topic not listed,topic not listed,topic not listed,topic not listed,Entertainment,
Prisoners of War/Missing in Action,Prisoners of War/Missing in Action,Entertainment,Entertainment,Entertainment,topic not listed,topic not listed,topic not listed,Prisoners of War/Missing in Action,Refugee Crisis,topic not listed,topic not listed,topic not listed,topic not listed,Entertainment,
topic not listed,Prisoners of War/Missing in Action,Entertainment,Entertainment,Entertainment,topic not listed,topic not listed,topic not listed,Prisoners of War/Missing in Action,topic not listed,topic not listed,topic not listed,topic not listed,topic not listed,topic not listed,
Prisoners of War/Missing in Action,Prisoners of War/Missing in Action,Entertainment,Entertainment,Entertainment,control,topic not listed,topic not listed,Prisoners of War/Missing in Action,topic not listed,topic not listed,topic not listed,topic not listed,topic not listed,Entertainment,
Prisoners of War/Missing in Action,Prisoners of War/Missing in Action,Entertainment,Entertainment,Entertainment,topic not listed,Prisoners of War/Missing in Action,Prisoners of War/Missing in Action,Prisoners of War/Missing in Action,topic not listed,Prisoners of War/Missing in Action,Prisoners of War/Missing in Action,Prisoners of War/Missing in Action,Prisoners of War/Missing in Action,Entertainment,
Prisoners of War/Missing in Action,Prisoners of War/Missing in Action,Entertainment,Entertainment,Entertainment,Entertainment,topic not listed,topic not listed,Prisoners of War/Missing in Action,topic not listed,topic not listed,topic not listed,topic not listed,topic not listed,Entertainment,
